Date,Weight
2017-11-11,222.1
2017-11-13,222.8
2017-11-14,223.5
2017-11-15,225.0
2017-11-16,224.2
2017-11-17,222.7
2017-11-18,224.8
2017-11-19,223.8
2017-11-21,223.7
2017-11-22,223.7
2017-11-23,223.4
2017-11-27,223.5
2017-11-28,224.6
2017-11-29,224.4
2017-11-30,223.2
2017-12-01,222.7
2017-12-02,223.2
2017-12-03,223.2
2017-12-04,223.2
2017-12-05,221.8
2017-12-06,220.8
2017-12-07,220.3
2017-12-08,221.7
2017-12-09,221.7
2017-12-10,223.3
2017-12-11,221.8
2017-12-12,221.8
2017-12-13,220.1
2017-12-14,222.4
2017-12-15,221.7
2017-12-16,219.9
2017-12-17,221.0
2017-12-18,220.6
2017-12-19,221.2
2017-12-20,222.8
2017-12-21,222.8
2017-12-22,221.7
2017-12-23,220.8
2017-12-24,221.7
2017-12-25,221.2
2017-12-26,219.3
2017-12-30,222.4
2018-01-01,221.4
2018-01-02,219.2
2018-01-03,221.4
2018-01-04,220.3
2018-01-06,220.3
2018-01-07,219.7
2018-01-08,220.3
2018-01-09,220.3
2018-01-10,222.0
2018-01-11,219.9
2018-01-12,220.4
2018-01-13,219.4
2018-01-14,219.4
2018-01-15,219.8
2018-01-16,219.5
2018-01-17,219.0
2018-01-18,220.4
2018-01-19,220.8
2018-01-20,221.3
2018-01-21,221.3
2018-01-22,221.3
2018-01-23,217.8
2018-01-24,217.3
2018-01-25,217.6
2018-01-26,217.6
2018-01-27,220.2
2018-01-28,221.9
2018-01-29,220.8
2018-01-30,218.6
2018-01-31,220.3
2018-02-02,221.1
2018-02-03,222.6
2018-02-04,222.4
2018-02-05,219.8
2018-02-06,220.5
2018-02-07,220.2
2018-02-08,220.5
2018-02-09,220.0
2018-02-10,217.4
2018-02-11,217.8
2018-02-12,216.6
2018-02-13,218.7
2018-02-14,218.3
2018-02-15,219.0
2018-02-16,218.5
2018-02-17,218.2
2018-02-18,218.2
2018-02-19,221.2
2018-02-20,222.5
2018-02-21,222.5
2018-02-22,221.0
2018-02-23,219.8
2018-02-24,221.4
2018-02-25,220.9
2018-02-26,218.9
2018-02-27,218.6
2018-02-28,218.6
2018-03-01,219.9
2018-03-02,220.9
2018-03-03,220.9
2018-03-04,218.2
2018-03-05,218.9
2018-03-06,219.6
2018-03-07,219.3
2018-03-08,217.7
2018-03-09,218.8
2018-03-10,218.6
2018-03-12,220.2
2018-03-20,220.0
2018-03-27,222.9
2018-03-28,219.6
2018-03-29,218.8
2018-03-30,217.9
2018-04-02,217.5
2018-04-03,217.9
2018-04-04,220.8
2018-04-06,218.2
2018-04-07,218.2
2018-04-10,219.6
2018-04-11,218.8
2018-04-12,217.8
2018-04-13,218.2
2018-04-14,219.1
2018-04-15,218.2
2018-04-16,219.2
2018-04-17,217.0
2018-04-18,217.9
2018-04-19,216.2
2018-04-20,215.1
2018-04-21,215.1
2018-04-22,214.4
2018-04-23,213.6
2018-04-24,214.2
2018-04-25,215.4
2018-04-26,216.2
2018-04-27,215.0
2018-04-30,215.9
2018-05-01,215.8
2018-05-02,216.4
2018-05-03,216.9
2018-05-04,216.1
2018-05-05,214.0
2018-05-07,215.1
2018-05-08,214.2
2018-05-09,214.0
2018-05-10,213.1
2018-05-11,214.4
2018-05-12,214.4
2018-05-13,214.1
2018-05-14,213.9
2018-05-15,213.2
2018-05-16,213.5
2018-05-17,214.4
2018-05-18,215.4
2018-05-20,216.0
2018-05-21,216.4
2018-05-23,217.2
2018-05-24,215.1
2018-05-25,214.3
2018-05-26,214.7
2018-05-27,215.9
2018-05-28,215.5
2018-05-29,214.5
2018-05-30,214.5
2018-05-31,214.5
2018-06-01,215.3
2018-06-02,214.7
2018-06-03,215.2
2018-06-04,214.9
2018-06-05,211.7
2018-06-06,212.9
2018-06-07,214.5
2018-06-08,214.9
2018-06-09,213.3
2018-06-10,212.7
2018-06-11,213.3
2018-06-12,212.5
2018-06-13,213.6
2018-06-14,212.9
2018-06-15,213.4
2018-06-16,212.5
2018-06-17,211.4
2018-06-18,213.1
2018-06-19,213.7
2018-06-20,212.9
2018-06-21,213.4
2018-06-22,213.2
2018-06-23,215.2
2018-06-24,214.1
2018-06-25,215.8
2018-06-26,212.4
2018-06-27,211.5
2018-06-28,212.8
2018-06-29,214.6
2018-06-30,215.0
2018-07-01,215.2
2018-07-02,213.6
2018-07-03,213.2
2018-07-04,213.2
2018-07-05,215.2
2018-07-06,214.9
2018-07-09,213.8
2018-07-10,213.2
2018-07-11,212.8
2018-07-12,212.6
2018-07-13,212.0
2018-07-14,212.3
2018-07-15,211.9
2018-07-23,212.1
2018-07-24,215.9
2018-07-25,213.3
2018-07-26,212.7
2018-07-27,214.3
2018-07-28,212.8
2018-07-29,213.6
2018-07-30,215.1
2018-07-31,214.0
2018-08-01,213.2
2018-08-02,214.3
2018-08-03,213.8
2018-08-05,212.9
2018-08-06,211.9
2018-08-07,209.9
2018-08-08,210.0
2018-08-09,211.4
2018-08-10,212.2
2018-08-11,210.4
2018-08-19,210.9
2018-08-20,212.0
2018-08-21,211.7
2018-08-22,210.5
2018-08-23,211.2
2018-08-24,211.7
2018-08-25,212.4
2018-09-01,211.9
2018-09-02,212.3
2018-09-03,212.5
2018-09-04,210.9
2018-09-05,210.9
2018-09-06,210.1
2018-09-14,214.4
2018-09-15,213.6
2018-09-16,212.9
2018-09-17,209.6
2018-09-18,211.7
2018-09-19,211.1
2018-09-20,211.8
2018-09-21,213.7
